Contract_Address,Size,Annotation
0x80a7e048f37a50500351c204cb407766fa3bae7f,64873,CrypteriumToken
0x623afe103fb8d189b56311e4ce9956ec0989b412,64613,Token
0xcbeaec699431857fdb4d37addbbdc20e132d4903,63999,YOYOW
0xf8e386eda857484f5a12e4b5daa9984e06e73705,63199,"https://indorse.io/, HR, IndorseToken"
0xdd98b423dc61a756e1070de151b1485425505954,63059,Dice
0xb97048628db6b661d4c2aa833e95dbe1a905b280,62654,"Crypto Card, Mobile, PayToken, http://www.tenx.tech/"
0xf5e39300ab38d19b777d507a2a52f86e0c0c51b0,62436,
0xaa0bb10cec1fa372eb3abc17c933fc6ba863dd9e,62432,
0xc72fe8e3dd5bef0f9f31f259399f301272ef2a2d,62097,InsightsNetwork3
0x87a0110ed1d09af6568392e77cedae95e5f3a674,61690,
0x12b306fa98f4cbb8d4457fdff3a0a0a56f07ccdf,60872,SpectreDividendToken
0x351d5ea36941861d0c03fdfb24a8c2cb106e068b,60781,FrescoToken
0xf7dca20054469a1d548b20859a100b9ec6ff1f61,60040,BitcoinEOS
0x91159390631ed2bfc6967695be85dee3be022ce3,59923,
0xe6a51bd48f93abcd6c1d532112094044971d8d4e,59877,
0xd9efb77fd4041a28f0108eb8726de2505817c6d1,59231,YggdrashCrowd
0xffa93aacf49297d51e211817452839052fdfb961,59130,DistributedCreditChain
0xe94327d07fc17907b4db788e5adf2ed424addff6,58050,RepToken
0xfe5f141bf94fe84bc28ded0ab966c16b17490657,57824,LibraToken
0xd6df5935cd03a768b7b9e92637a01b25e24cb709,57729,Bitgram
0x4156d3342d5c385a87d264f90653733592000581,57519,Salt
0xe57cf6e88505f36954e7c8e6ca9d6b645d030375,57498,Exera
0xdd974d5c2e2928dea5f71b9825b8b646686bd200,57143,"https://kyber.network, Liquidity"
0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750,57109,"https://bytom.io/, Blockchain, HumanStandardToken"
0xc44948cbbaf37a4d7f1315c08972b4338080bf59,55606,CustomToken
0xb6ed7644c69416d67b522e20bc294a9a9b405b31,55148,"0xBitcoin Contract, _0xBitcoinToken"
0xedc502b12ced7e16ce21749e7161f9ed22bfca53,55109,HumanStandardToken
0x00868b5f38673a0c6804a4e1c130b7676177bb48,54899,
0x127cae460d6e8d039f1371f54548190efe73e756,54888,ShiftCashExtraBonus
0x48845c3da5bb1a4060fa2cea0ad5a3ef3af9a874,54580,IMTERC20
0x4cf488387f035ff08c371515562cba712f9015d4,54354,"https://wepower.network/, Energy, WPR"
0xb9e7f8568e08d5659f5d29c4997173d84cdf2607,54091,"https://swarm.city/, Marketplace"
0x72dd4b6bd852a3aa172be4d6c5a6dbec588cf131,53937,NAGACoin
0x039b5649a59967e3e936d7471f9c3700100ee1ab,53746,
0x6ff73ee2255c30e072d35598f9b06795122d4e64,53698,DigitalEnthusiasts
0xd3f9d7f8b0a6dd663bc5dc1a2229ae845fb9e779,53044,
0xf3dd3acf1662a564e15d7569fd80c105596e8846,52982,ALP
0x2734b99e2c62ca70fe753a0cbcd3a90930e1eec9,52960,
0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e,52256,Dragon
0x228ba514309ffdf03a81a205a6d040e429d6e80c,51551,GSCToken
0x61f33da40594cec1e3dc900faf99f861d01e2e7d,51436,CybereitsToken
0x54676cd2f1e8d296e7ac69f69675f936c4629dde,51420,
0xc0e4f45b828aa4aa628e897e5da38d9dc72c2257,51343,
0x818fc6c2ec5986bc6e2cbf00939d90556ab12ce5,51076,"https://kinecosystem.org/, Social, KinToken"
0x595832f8fc6bf59c85c527fec3740a1b7a361269,51030,PowerLedger
0x939c0304e9033761e4b510a93386ba3bebc983ba,50963,
0x342156c8d3ba54abc67920d35ba1d1e67201ac9c,50954,Elsevier
0x7c1e2f0cc43c2a47bba7a0234daa8ceb9a1da0b5,50947,
0x139d415b5fd0981fbee78d0fa503168855b34652,50728,Mining24
0x0f71b8de197a1c84d31de0f1fa7926c365f052b3,50675,ArconaToken
0x41e5560054824ea6b0732e656e3ad64e20e94e45,50411,"https://www.civic.com/, Identity, CentrallyIssuedToken"
0xc27c95350ecd634c80df89db0f10cd5c24b7b11f,50371,PixieCoin
0xd2d6158683aee4cc838067727209a0aaf4359de3,49619,Bounty0xToken
0xbab165df9455aa0f2aed1f2565520b91ddadb4c8,49464,EKT
